experiment_id,raw,calibrated
2,3799,1227
2,3432,1110
2,3064,991
2,2841,921
2,2933,949
2,2837,919
2,2921,946
2,2781,901
2,2265,735
2,1719,559
2,885,290
2,268,89
2,5,3
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,31,16
3,29,15
3,0,0
3,127,60
3,471,223
3,780,366
3,1066,497
3,1280,595
3,1445,670
3,1611,746
3,1838,849
3,2022,933
3,2304,1060
3,2525,1159
3,2814,1288
3,3148,1436
3,3241,1478
3,3212,1464
3,3219,1467
3,3240,1477
3,3501,1591
3,3947,1786
3,4095,1850
3,4095,1850
3,4095,1850
3,4095,1850
3,4095,1850
3,4095,1850
3,4095,1850
3,4095,1850
3,4095,1850
3,4095,1850
3,4095,1850
3,4095,1850
3,4095,1850
3,4095,1850
3,4095,1850
3,4095,1850
3,4095,1850
3,4095,1850
3,4095,1850
3,4095,1850
3,4095,1850
3,4095,1850
3,4095,1850
3,4095,1850
3,4095,1850
3,4095,1850
3,4095,1850
3,4095,1850
3,4095,1850
3,4095,1850
3,4095,1850
3,4095,1850
3,4049,1830
3,3659,1660
3,3165,1444
3,2892,1322
3,2515,1155
3,2090,964
3,2056,949
3,2107,972
3,2133,983
3,2095,966
3,1833,848
3,1529,709
3,1196,557
3,764,358
3,469,222
3,173,83
3,5,4
3,0,0
3,0,0
3,0,0
3,0,0
3,1,0
3,0,0
3,13,8
3,0,0
3,1,0
3,0,0
3,0,0
3,116,55
3,175,84
3,483,227
3,863,403
3,996,465
3,1278,594
3,1526,708
3,1721,796
3,1767,819
3,1763,817
3,1818,841
3,2155,993
4,1415,1219
4,1638,1407
4,1782,1529
4,1967,1686
4,2166,1855
4,2332,1996
4,2455,2098
4,2558,2183
4,2708,2306
4,2779,2362
4,2813,2389
4,2729,2322
4,2394,2047
4,2123,1819
4,1805,1549
4,1575,1353
4,1309,1129
4,1191,1031
4,1215,1050
4,1165,1008
4,1206,1043
4,1149,995
4,957,834
4,733,644
4,470,419
4,269,242
4,69,63
4,0,0
4,0,0
4,6,5
4,7,6
4,0,0
4,0,0
4,18,15
4,176,159
4,372,333
4,587,519
4,761,667
4,891,779
4,1061,921
4,1343,1159
4,1541,1325
4,1510,1300
4,1574,1353
4,1545,1328
4,1670,1434
4,1895,1625
4,2236,1914
4,2495,2131
4,2751,2339
4,2970,2512
4,3223,2698
4,3446,2848
4,3493,2877
4,3493,2877
4,3497,2880
4,3547,2912
4,3861,3080
4,4095,3173
4,4095,3173
4,4095,3173
4,4095,3173
4,4095,3173
4,4095,3173
4,4095,3173
4,4095,3173
4,4095,3173
4,4095,3173
4,3740,3020
4,3303,2753
4,3159,2652
4,2904,2460
4,2767,2352
4,2799,2379
4,2765,2351
4,2775,2359
4,2571,2192
4,2238,1915
4,1820,1561
4,1501,1292
4,1256,1085
4,1052,914
4,866,756
4,779,683
4,777,682
4,791,694
4,781,685
4,715,629
4,532,473
4,255,230
4,0,0
4,0,0
4,0,0
4,0,0
4,57,52
4,0,0
4,0,0
4,41,37
4,313,282
4,566,502
4,681,600
